iter	Passed	Remaining
0	1	121
1	3	152
2	4	143
3	5	132
4	6	127
5	7	123
6	9	120
7	10	117
8	11	119
9	13	117
10	14	117
11	15	115
12	16	112
13	18	112
14	19	110
15	20	107
16	21	105
17	22	103
18	23	101
19	25	100
20	26	98
21	27	96
22	28	94
23	29	92
24	30	91
25	31	90
26	32	88
27	33	86
28	34	85
29	35	83
30	37	82
31	38	80
32	39	79
33	40	78
34	41	77
35	42	76
36	44	75
37	45	74
38	46	72
39	47	71
40	48	70
41	49	68
42	50	66
43	51	65
44	53	64
45	54	63
46	55	62
47	56	61
48	57	60
49	58	58
50	60	57
51	61	56
52	62	55
53	64	54
54	65	53
55	66	52
56	67	51
57	69	49
58	70	48
59	71	47
60	72	46
61	73	45
62	75	44
63	76	43
64	77	41
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	85	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	28
76	92	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	101	20
83	102	19
84	104	18
85	105	17
86	106	15
87	107	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	115	7
94	116	6
95	117	4
96	118	3
97	120	2
98	121	1
99	122	0
