iter	Passed	Remaining
0	178	178476
1	180	89822
2	181	60216
3	182	45440
4	183	36551
5	184	30585
6	185	26359
7	186	23173
8	187	20691
9	188	18701
10	189	17078
11	191	15741
12	192	14596
13	193	13613
14	194	12761
15	195	12020
16	196	11361
17	197	10782
18	198	10261
19	199	9789
20	200	9362
21	201	8973
22	202	8615
23	203	8286
24	205	8002
25	206	7726
26	207	7469
27	208	7230
28	209	7007
29	210	6799
30	211	6607
31	212	6425
32	213	6254
33	214	6092
34	215	5940
35	216	5796
36	217	5661
37	218	5532
38	219	5415
39	220	5301
40	221	5191
41	222	5085
42	224	4985
43	225	4888
44	226	4797
45	227	4709
46	228	4625
47	229	4544
48	230	4465
49	231	4394
50	232	4328
51	233	4263
52	235	4200
53	236	4137
54	237	4080
55	238	4024
56	239	3968
57	240	3913
58	242	3863
59	243	3811
60	244	3763
61	245	3716
62	246	3668
63	247	3623
64	248	3578
65	249	3535
66	250	3493
67	251	3452
68	252	3413
69	253	3374
70	254	3335
71	255	3297
72	256	3262
73	257	3227
74	259	3195
75	260	3163
76	261	3131
77	262	3100
78	263	3069
79	264	3038
80	265	3009
81	266	2980
82	266	2947
83	267	2919
84	268	2893
85	269	2867
86	270	2841
87	271	2816
88	272	2792
89	273	2768
90	274	2746
91	275	2722
92	277	2701
93	278	2679
94	279	2658
95	280	2637
96	281	2616
97	282	2596
98	283	2576
99	284	2557
100	285	2537
101	286	2519
102	287	2501
103	288	2483
104	289	2469
105	290	2452
106	291	2436
107	293	2421
108	294	2405
109	295	2390
110	296	2375
111	297	2361
112	299	2347
113	300	2333
114	301	2319
115	302	2305
116	303	2290
117	304	2278
118	306	2267
119	307	2254
120	308	2241
121	309	2227
122	310	2214
123	311	2201
124	312	2188
125	313	2175
126	314	2162
127	315	2150
128	316	2138
129	317	2126
130	318	2114
131	320	2105
132	321	2095
133	322	2084
134	323	2073
135	324	2063
136	325	2053
137	327	2043
138	328	2033
139	329	2022
140	330	2013
141	331	2001
142	332	1992
143	333	1982
144	334	1974
145	336	1965
146	337	1956
147	338	1947
148	339	1938
149	340	1930
150	341	1921
151	342	1912
152	343	1903
153	344	1894
154	345	1885
155	346	1876
156	347	1868
157	348	1859
158	350	1851
159	351	1844
160	352	1834
161	353	1827
162	354	1820
163	355	1812
164	356	1805
165	357	1797
166	358	1789
167	359	1781
168	360	1774
169	362	1767
170	363	1760
171	364	1755
172	365	1748
173	366	1742
174	368	1735
175	369	1728
176	370	1721
177	371	1715
178	372	1708
179	373	1702
180	374	1695
181	375	1688
182	376	1682
183	377	1675
184	379	1669
185	380	1664
186	381	1658
187	382	1651
188	383	1645
189	384	1639
190	385	1632
191	386	1626
192	387	1620
193	388	1614
194	389	1608
195	390	1602
196	391	1596
197	392	1591
198	393	1585
199	394	1579
200	396	1574
201	397	1568
202	398	1562
203	399	1556
204	400	1551
205	401	1545
206	402	1540
207	403	1535
208	404	1529
209	405	1524
210	406	1518
211	407	1513
212	408	1508
213	409	1504
214	410	1499
215	411	1494
216	412	1489
217	413	1484
218	414	1479
219	415	1473
220	416	1468
221	417	1464
222	418	1459
223	419	1454
224	420	1449
225	421	1445
226	423	1440
227	424	1435
228	425	1431
229	426	1427
230	427	1422
231	428	1418
232	429	1413
233	430	1408
234	431	1404
235	432	1399
236	433	1395
237	434	1390
238	435	1385
239	436	1382
240	437	1377
241	438	1374
242	440	1370
243	441	1366
244	442	1362
245	443	1358
246	444	1354
247	445	1349
248	446	1345
249	447	1341
250	448	1337
251	449	1333
252	450	1329
253	451	1325
254	452	1321
255	453	1317
256	454	1313
257	455	1310
258	456	1306
259	457	1303
260	458	1299
261	459	1295
262	460	1291
263	462	1288
264	462	1284
265	463	1280
266	465	1276
267	466	1272
268	466	1269
269	467	1265
270	468	1261
271	470	1258
272	471	1255
273	472	1251
274	473	1247
275	474	1244
276	475	1240
277	476	1238
278	477	1234
279	478	1231
280	479	1228
281	480	1224
282	481	1221
283	483	1217
284	484	1214
285	485	1212
286	486	1208
287	487	1205
288	488	1202
289	489	1199
290	490	1196
291	491	1192
292	492	1189
293	494	1186
294	495	1183
295	496	1180
296	497	1177
297	498	1175
298	500	1173
299	501	1170
300	502	1167
301	503	1164
302	504	1161
303	505	1157
304	506	1154
305	507	1151
306	508	1148
307	509	1145
308	510	1142
309	511	1139
310	512	1136
311	513	1132
312	514	1129
313	515	1127
314	516	1123
315	517	1120
316	518	1118
317	519	1115
318	520	1112
319	521	1109
320	523	1106
321	524	1103
322	525	1100
323	526	1098
324	527	1095
325	528	1092
326	529	1089
327	530	1087
328	531	1084
329	532	1081
330	534	1079
331	535	1076
332	536	1074
333	537	1071
334	538	1068
335	539	1065
336	540	1063
337	541	1060
338	542	1058
339	543	1055
340	544	1052
341	545	1050
342	547	1047
343	548	1045
344	549	1042
345	550	1040
346	552	1039
347	553	1036
348	554	1034
349	555	1031
350	556	1028
351	557	1025
352	558	1023
353	559	1020
354	560	1018
355	561	1015
356	562	1013
357	563	1010
358	564	1008
359	565	1005
360	566	1003
361	567	1000
362	568	998
363	569	995
364	570	993
365	572	990
366	573	988
367	574	985
368	575	983
369	576	981
370	577	978
371	578	976
372	579	973
373	580	971
374	581	969
375	582	966
376	583	963
377	584	961
378	585	959
379	586	956
380	587	954
381	588	951
382	589	949
383	590	947
384	591	944
385	592	942
386	593	940
387	594	938
388	595	935
389	596	933
390	597	930
391	598	928
392	599	926
393	600	923
394	601	921
395	602	919
396	603	916
397	604	914
398	605	912
399	606	910
400	607	907
401	608	905
402	609	903
403	610	901
404	611	898
405	612	896
406	613	894
407	614	891
408	615	889
409	616	887
410	617	885
411	618	883
412	619	881
413	621	879
414	622	877
415	623	875
416	624	873
417	625	870
418	626	868
419	627	866
420	628	864
421	629	862
422	630	860
423	631	858
424	632	856
425	633	853
426	634	851
427	635	849
428	637	847
429	638	845
430	639	843
431	640	841
432	641	839
433	642	837
434	643	835
435	644	833
436	645	831
437	646	829
438	647	827
439	648	825
440	649	823
441	650	821
442	651	819
443	652	817
444	653	815
445	655	813
446	656	811
447	657	810
448	658	807
449	659	805
450	660	803
451	661	801
452	662	799
453	663	797
454	664	795
455	665	793
456	666	792
457	668	790
458	669	788
459	670	786
460	671	785
461	672	783
462	673	781
463	674	779
464	675	777
465	676	775
466	677	773
467	678	771
468	679	769
469	680	767
470	682	766
471	683	764
472	684	763
473	686	761
474	687	759
475	688	757
476	689	755
477	690	754
478	691	752
479	692	750
